,Chicago,Evanston,Naperville,Cook County
63,Service-Requests/311-Service-Requests-Street-Lights-One-Out/3aav-uy2v,Information-Technology-includes-maps-geospatial-da/Federal-historic-districts/7wdp-qeru, Sidewalks\'a0,Finance-Administration/Auditor-Reports/4u8a-te7
64,Service-Requests/311-Service-Requests-Rodent-Baiting/97t6-z,Parking/Total-Income-Parking-Meter-Data-February-Report-20/2v7y-z87, Naperville Sidewalk Data,Finance-Administration/Procurement-Intent-to-Award/bgq7-v7m
65,Public-Safety/Crimes-2014/qnmj-8ku6,Parking/Total-Income-Parking-Meter-Data-November-2016/udkd-3qq, Stormwater Structures\'a0,Finance-Administration/Procurement-Intent-to-Execute/ag43-fvd7
66,Community-Economic-Development/Public-Passenger-Vehicle-Licenses/tfm3-3j95,Parking/Total-Income-Parking-Meter-Data-March-2016-Report/evaa-66, City of Naperville Stormwater Structures,Finance-Administration/Investor-Relations-Bond-Official-Statements/d46c-nxy5
67,Education/Libraries-Locations-Hours-and-Contact-Information-/wa2i-tm5,Parking/Total-Income-Parking-Meter-Data-July-Report-2017/54js-meg8, Stormwater Culvert\'a0,Finance-Administration/Human-Resources-Compliance-Officer-s-Semi-Annual-R/bsk3-nwf8
68,Health-Human-Services/Workforce-Centers/cs4s-nsn,EMS-and-Fire-Responses-by-Census-Tract-2013-2015-/vjss-u86b, City of Naperville Stormwater Culverts,Finance-Administration/Inspector-General-Proposed-Legislation/jtuj-fee
69,Health-Human-Services/Food-Inspections-Map/cnfp-tsx,Information-Technology-includes-maps-geospatial-da/CDBG-Target-Area/n5c8-air7, Stormwater Pipes\'a0,Finance-Administration/Inspector-General-Quarterly-Reports/fujx-q5f
70,Administration-Finance/Employee-Overtime-and-Supplemental-Earnings-2012/92xk-4rg9,Information-Technology-includes-maps-geospatial-da/Zoning-Overlay-Districts/kpz3-akj, City of Naperville Stormwater Pipes,Finance-Administration/Inspector-General-Public-Statements/mzyj-5e
71,Buildings/Building-Permits-Dashboard/2s3k-mec8,Information-Technology-includes-maps-geospatial-da/Street-centerlines/f3z5-j3m, Stormwater Special Features\'a0,GIS-Maps/ccgisdata-Address-Points-for-Area-33-2016-/7fn9-ax
72,Service-Requests/311-Service-Requests-Street-Lights-All-Out/zuxi-7xem,Public-Works/2011-2016-City-of-Evanston-Outdoor-Air-Quality/caw4-iaaq, City of Naperville Stormwater Special Features,GIS-Maps/ccgisdata-Address-Points-for-Area-32-2016-/q6ik-zx2
73,Education/Chicago-Public-Schools-Progress-Report-Cards-2011-/9xs2-f89,Parking/Total-Income-Parking-Meter-Data-May-Report-2017/sgxw-qceb, Stormwater Reservoir\'a0,GIS-Maps/ccgisdata-Address-Points-for-Area-31-2016-/mqsd-unjm
74,Buildings/Building-Footprints-deprecated-January-2013-/w2v3-isjw,Parking/Total-Income-Parking-Meter-Data-September-2016/ai7c-gg49, City of Naperville Stormwater Reservoirs,GIS-Maps/ccgisdata-Address-Points-for-Area-30-2016-/k7z8-ma9
75,Health-Human-Services/Condom-Distribution-Sites/azpf-uc4,Parking/Total-Income-Parking-Meter-Data-June-2017-Report/3b74-ux5, ROW Trees\'a0,GIS-Maps/ccgisdata-Address-Points-for-Area-29-2016-/d8c2-rize
76,Transportation/Average-Daily-Traffic-Counts-Map/pf56-35rv,Information-Technology-includes-maps-geospatial-da/Streets-and-alleys/38gb-t2dq, Naperville Driveways,GIS-Maps/ccgisdata-Address-Points-for-Area-28-2016-/gug2-e5q
77,Facilities-Geographic-Boundaries/Boundaries-ZIP-Codes/gdcf-axmw,Information-Technology-includes-maps-geospatial-da/Traffic-circles/dnv6-, Roads Outline\'a0,GIS-Maps/ccgisdata-Address-Points-for-Area-27-2016-/vhk7-x9
78,Public-Safety/Crimes-2013/a95h-gwzm,Information-Technology-includes-maps-geospatial-da/City-Property/cxez-38m, Municipal Boundary\'a0,GIS-Maps/ccgisdata-Address-Points-for-Area-26-2016-/pz8d-arh6
79,Transportation/Bike-Racks-Map/4ywc-hr3,Information-Technology-includes-maps-geospatial-da/Bridges/d5pp-b, City of Naperville Municipal Boundary,GIS-Maps/ccgisdata-Address-Points-for-Area-25-2016-/6uxp-xqj6
80,FOIA/FOIA-Request-Log-Procurement-Services/bcyv-67qk,Voter-Registration-Rates-From-2004-2012/bk8c-wabb, Address Points\'a0,GIS-Maps/ccgisdata-Address-Points-for-Area-24-2016-/ntax-x2zf
81,Environment-Sustainable-Development/Energy-Usage-2010/8yq3-m6w,Public-Works/2011-15-City-of-Evanston-Total-Solid-Waste/dxbr-gdn8, Address Points,GIS-Maps/ccgisdata-Address-Points-for-Area-23-2016-/kkvn-vsd7
82,Buildings/Life-Safety-Evaluations/qqqh-hgyw,Parking/Total-Income-Parking-Meter-Data-December-2016-Repo/ytfg-ktgb, Parcels\'a0,GIS-Maps/ccgisdata-Address-Points-for-Area-22-2016-/mqn9-4wm
83,Health-Human-Services/Public-Health-Statistics-Selected-underlying-cause/j6cj-r444,Parking/Total-Income-Parking-Meter-Data-JANUARY-REPORT-201/p2gc-nw7, City of Naperville Parcel Layer,GIS-Maps/ccgisdata-Address-Points-for-Area-21-2016-/uhv8-ar4
84,Transportation/Relocated-Vehicles/5k2z-suxx,Parking/Total-Income-Parking-Meter-Data-October-2016/wfv8-pwi2, Buildings\'a0,GIS-Maps/ccgisdata-Address-Points-for-Area-20-2016-/24hu-vx3
85,Administration-Finance/Contracts/rsxa-ify5,Parks-Recreation-Community-Services/Arts-Attendance-And-Participation-2011-14/vnwx-nbpj, Building Footprints,GIS-Maps/ccgisdata-Address-Points-for-Area-19-2016-/y9wi-jd57
86,Transportation/Speed-Camera-Violations/hhkd-xvj4,Community-Development/Presidential-Primary-Turnout-2016/hx3n-f4j, City Grid\'a0,GIS-Maps/ccgisdata-Address-Points-for-Area-18-2016-/b83i-7zx
87,Community-Economic-Development/Business-Licenses-Current-Active-Map/e4sp-itvq,Public-Works/2014-City-of-Evanston-Monthly-Water-Pumpage/95em-74, Naperville City Grid,GIS-Maps/ccgisdata-Address-Points-for-Area-17-2016-/jaeu-u2u6
88,Public-Safety/Boundaries-Police-Districts/4dt9-88u,Information-Technology-includes-maps-geospatial-da/Fences/iq33-, Schools\'a0,GIS-Maps/ccgisdata-Address-Points-for-Area-16-2016-/e9gq-iq
89,Public-Safety/Crimes-2011/qnrb-dui6,Information-Technology-includes-maps-geospatial-da/Temporary-school-one-way-streets/des2-y73b, City of Naperville Schools,GIS-Maps/ccgisdata-Address-Points-for-Area-15-2016-/ai6s-9
90,Health-Human-Services/Community-Service-Centers/bspy-6mw8,, Natural Water Features\'a0,
91,Transportation/CTA-Ridership-L-Station-Entries-Daily-Totals/5neh-572,, Natural Water Features in Naperville,
92,Facilities-Geographic-Boundaries/Boundaries-City-Outdated-Format/q38j-zgre,, ROW Centerline\'a0,
93,Administration-Finance/Budget-2011-Budget-Ordinance-Positions-and-Salarie/g398-fhbm,, Naperville Right-of-Way Centerlines,
94,Service-Requests/311-Service-Requests-Alley-Lights-Out/t28b-ys7j,, City of Naperville aerial photography 2013,
95,FOIA/FOIA-Request-Log-Animal-Care-and-Control/b989-387,, Emergency Shelters\'a0,
96,Public-Safety/Crimes-2012/hx8q-mf9v,, Designated Emergency Shelter Locations for the City of Naperville. This data is compatible with Waze feeds.,
97,Administration-Finance/Budget-2011-Budget-Ordinance-Appropriations/drv3-jzq,, City Website GIS Homepage\'a0,
98,Health-Human-Services/Food-Inspections-Dashboard/2bnm-jnvb,,,
99,FOIA/FOIA-Request-Log-Human-Resources/7zkx-3pp7,,,
100,FOIA/FOIA-Request-Log-Water-Management/cxfr-dd4,,,
101,FOIA/FOIA-Request-Log-Streets-Sanitation/zpd8-zq4w,,,
102,Events/Chicago-Park-District-Event-Permits/pk66-w54,,,
103,Facilities-Geographic-Boundaries/Boundaries-Central-Business-District/tksj-nvsw,,,
104,Health-Human-Services/Census-Data-Languages-spoken-in-Chicago-2008-2012/a2fk-ec6q,,,
105,Environment-Sustainable-Development/Average-Electricity-Usage-per-Square-Foot-by-Commu/usfg-z9mx,,,
106,FOIA/FOIA-Request-Log-Administrative-Hearings/t58s-ja5,,,
107,Facilities-Geographic-Boundaries/Ward-Offices/htai-wnw4,,,
108,Transportation/Major-Streets/ueqs-5wr6,,,
109,FOIA/FOIA-Request-Log-Finance/7avf-ek45,,,
110,FOIA/FOIA-Request-Log-Office-of-the-Mayor/srzw-dcv,,,
111,Transportation/CTA-Ridership-Bus-Routes-Daily-Totals-by-Route/jyb9-n7fm,,,
112,Transportation/Bike-Racks/cbyb-69xx,,,
113,Community-Economic-Development/Public-Chauffeurs-Filter-by-License-Number/p8iv-nnh8,,,
114,Administration-Finance/Performance-Metrics-Business-Affairs-Consumer-Prot/hrnt-vbxn,,,
115,Environment-Sustainable-Development/CDPH-Storage-Tanks/ug5u-hxnx,,,
116,Administration-Finance/Budget-2013-Budget-Ordinance-Positions-and-Salarie/78az-bt2,,,
117,Public-Safety/Crimes-2010/q4de-h6yq,,,
118,FOIA/FOIA-Request-Log-Planning-and-Development/5ztz-espx,,,
119,FOIA/FOIA-Request-Log-311/j2p9-gdf5,,,
120,Community-Economic-Development/Boundaries-Enterprise-Zones/64xf-pyv,,,
121,Administration-Finance/Performance-Metrics-Business-Affairs-Consumer-Prot/igye-3mj8,,,
122,Community-Economic-Development/Micro-Market-Recovery-Program-Violations-and-Inspe/ujwc-724,,,
123,Community-Economic-Development/Vacant-Properties-by-Community-Area/cjr7-qyw5,,,
124,Service-Requests/Sanitation-Status-Map/8bap-6xg8,,,
125,Community-Economic-Development/Business-Licenses-Current-Liquor-and-Public-Places/nrmj-3k,,,
126,FOIA/FOIA-Request-Log-OEMC/8pxc-mzcv,,,
127,Parks-Recreation/Beach-Water-Quality-Automated-Sensors-2014-Water-T/v7bk-5pm9,,,
128,Facilities-Geographic-Boundaries/Boundaries-Wards-2015-/sp34-6z76,,,
129,Community-Economic-Development/Micro-Market-Recovery-Program-Violations-and-Inspe/jceb-56v,,,
130,FOIA/FOIA-Request-Log-Business-Affairs-Consumer-Protect/ybhx-inqb,,,
131,Historic-Preservation/Landmark-Districts/zidz-sdfj,,,
132,Community-Economic-Development/TIF-District-Programming/ycd5-punx,,,
133,Education/Schools-deprecated-2012-/kqmn-byj8,,,
134,FOIA/FOIA-Request-Log-Chicago-Police-Board/9pd8-s9t4,,,
135,FOIA/FOIA-Request-Log-Transportation/u9qt-tv7,,,
136,Buildings/Elevation-Benchmarks-Map/kmt9-pg57,,,
137,Health-Human-Services/Public-Health-Statistics-Births-and-birth-rates-in/4arr-giv,,,
138,Community-Economic-Development/Public-Chauffeurs-Filter-by-Driver-Name/g8ca-t8,,,
139,Transportation/CTA-Ridership-Daily-Boarding-Totals/6iiy-9s97,,,
140,Transportation/CTA-List-of-Fare-Media-Sales-Outlets-deprecated-Au/ag7u-gr9m,,,
141,Administration-Finance/Budget-2013-Budget-Recommendations-Positions-and-S/gfmr-d54,,,
142,Transportation/CTA-Ridership-Avg-Weekday-Bus-Stop-Boardings-in-Oc/mq3i-nnqe,,,
143,et/Divvy-Bicycle-Stations-Historical-Dashboard/5nq5-wxpz,,,
144,Community-Economic-Development/Public-Chauffeurs-Dashboard/3dz4-k,,,
145,Education/Chicago-Public-Schools-Geographic-Networks/3y7n-mx9,,,
146,Service-Requests/311-Service-Requests-Vacant-and-Abandoned-Building/d9re-tmpw,,,
147,Administration-Finance/Performance-Metrics-Streets-Sanitation-Graffiti-Re/9m5u-3f29,,,
148,Education/Connect-Chicago-Locations-Map/4jzv-,,,
149,Environment-Sustainable-Development/Green-Roofs-Map/u23m-pa73,,,
150,Environment-Sustainable-Development/Array-of-Things-Locations-Map/2dng-xkn,,,
151,Community-Economic-Development/Map-of-Grocery-Stores-2013/ce29-twz,,,
152,Public-Safety/Crimes-2001/8v97-un,,,
153,Sanitation/Street-Sweeping-Schedule-2012/k3hy-v5xb,,,
154,Health-Human-Services/Senior-Centers-Map/8ayb-6mj,,,
155,Buildings/Vacant-and-Abandoned-Buildings-Violations/kc9i-wq85,,,
156,Community-Economic-Development/Affordable-Rental-Housing-Developments/dkgm-i9,,,
157,Community-Economic-Development/TIF-Balance-Sheets/hezc-e4be,,,
158,Transportation/Parking-Permit-Zones/u9xt-hiju,,,
159,Public-Safety/Boundaries-Police-Beats-current-/aerh-rz74,,,
160,Administration-Finance/Employee-Overtime-and-Supplemental-Earnings-2013/s9zb-nuc6,,,
161,Public-Safety/Crimes-2008/xa2r-b,,,
162,Administration-Finance/Budget-2012-Budget-Ordinance-Appropriations/8ix6-nb7q,,,
163,Public-Safety/Crimes-2009/qqw2-hwk,,,
164,Parks-Recreation/Forest-Preserves-Chicago/je6f-7464,,,
165,Facilities-Geographic-Boundaries/Population-by-2010-Census-Block/5yjb-v3mj,,,
166,Public-Safety/Crimes-2002/g9qy-h66j,,,
167,Public-Safety/Crimes-2007/7wwb-3vgm,,,
168,Public-Safety/Crimes-2006/mh59-yhwm,,,
169,Public-Safety/Crimes-2005/4guy-,,,
170,Health-Human-Services/Public-Health-Statistics-Diabetes-hospitalizations/vekt-28b5,,,
171,Facilities-Geographic-Boundaries/Boundaries-Census-Blocks-2010/mfzt-js4n,,,
172,Public-Safety/Crimes-2003/zjqd-uvk,,,
173,Administration-Finance/Budget-2014-Budget-Recommendations-Positions-and-S/q8h3-dju,,,
174,Public-Safety/Crimes-2004/vaxn-3im,,,
175,FOIA/FOIA-Request-Log-Law/44bx-n,,,
176,Health-Human-Services/Public-Health-Statistics-Asthma-hospitalizations-i/vazh-t57q,,,
177,Transportation/CTA-Ridership-L-Station-Entries-Monthly-Day-Type-A/t2rn-p8d7,,,
178,Transportation/CTA-L-Rail-Lines-Shapefile/53r7-y88m,,,
179,Facilities-Geographic-Boundaries/Boundaries-Neighborhoods/bbvz-uum9,,,
180,Parks-Recreation/Beach-Water-Quality-Automated-Sensors/qmqz-2xku,,,
181,FOIA/FOIA-Request-Log-Revenue/zrv6-,,,
182,Environment-Sustainable-Development/CDPH-Environmental-Inspections/i9rk-duv,,,
183,Transportation/Roadway-Construction-Moratoriums/ndbz-vy4e,,,
184,Administration-Finance/Budget-2012-Budget-Ordinance-Positions-and-Salarie/4n2t-us8,,,
185,Parks-Recreation/Parks-Shapefiles-deprecated-November-2016-/5msb-wbxn,,,
186,Parks-Recreation/Parks-Map-deprecated-November-2016-/2eaw-bdhe,,,
187,Transportation/Taxi-Trips-Dashboard/spcw-brbq,,,
188,Health-Human-Services/Hospitals-Chicago/ucpz-2r55,,,
189,Transportation/Chicago-Traffic-Tracker-Congestion-Estimates-by-Re/t2qc-9pj,,,
190,Transportation/Street-Center-Lines-Deprecated-July-2013-/xy4z-b6,,,
191,FOIA/FOIA-Request-Log-Health/4h87-z,,,
192,Transportation/Chicago-Traffic-Tracker-Historical-Congestion-Esti/77hq-hu,,,
193,Community-Economic-Development/TIF-Balances-by-Fiscal-Year/hz8p-ewk5,,,
194,Administration-Finance/Employee-Reimbursements/g5h3-jk,,,
195,Environment-Sustainable-Development/Map-of-CDPH-Environmental-Records-Lookup-Table/42mh-n5,,,
196,Transportation/Chicago-Traffic-Tracker-Historical-Congestion-Esti/emtn-qq,,,
197,Environment-Sustainable-Development/CDPH-Environmental-Complaints/fypr-ksnz,,,
198,Community-Economic-Development/Broadband-Innovation-Zones/jkfs-hw,,,
199,Historic-Preservation/Individual-Landmarks-Map/habu-n236,,,
200,Parks-Recreation/Beach-Weather-Stations-Automated-Sensors-2015-Wind/dayf-zcv,,,
201,Administration-Finance/Budget-2014-Budget-Ordinance-Appropriations/ub6s-xy6e,,,
202,Parks-Recreation/Waterways/bat8-9fu,,,
203,Administration-Finance/Employee-Overtime-and-Supplemental-Earnings-2014/9xua-tab,,,
204,FOIA/FOIA-Request-Log-Aviation/jbth-h7cm,,,
205,Administration-Finance/Budget-2015-Budget-Ordinance-Positions-and-Salarie/f338-e9n,,,
206,Buildings/Building-Footprints-current-/hz9b-7nh8,,,
207,FOIA/FOIA-Request-Log-Independent-Police-Review-Authori/gzxp-vdq,,,
208,Community-Economic-Development/Boundaries-Empowerment-Zones/m6ef-sjkj,,,
209,Public-Safety/Boundaries-Police-Districts-current-/fthy-xz3,,,
210,Administration-Finance/Budget-2016-Budget-Ordinance-Positions-and-Salarie/ipsp-k4x,,,
211,Community-Economic-Development/Active-Taxi-Vehicle-Models-Graph/hemf-zffe,,,
212,Environment-Sustainable-Development/CDPH-Environmental-Permits/ir7v-8mc8,,,
213,Administration-Finance/Budget-2014-Budget-Ordinance-Positions-and-Salarie/etzw-ycze,,,
214,Administration-Finance/Budget-2013-Budget-Recommendations-Appropriations/d6tb-pwze,,,
215,Buildings/Building-Footprints-deprecated-August-2015-/qv97-3bvb,,,
216,Transportation/Chicago-Traffic-Tracker-Congestion-Estimates-by-Se/n4j6-wkk,,,
217,Transportation/Taxi-Trips/wrvz-psew,,,
218,Community-Economic-Development/Public-Passenger-Vehicle-Licenses-Taxis-Only/gcze-gasw,,,
219,Transportation/CTA-Ridership-Annual-Boarding-Totals/w8km-9pz,,,
220,Administration-Finance/Budget-Positions-and-Salaries-in-2011-Appropriatio/6xus-9vdn,,,
221,Transportation/CTA-System-Information-List-of-L-Stops/8pix-ypme,,,
222,Environment-Sustainable-Development/CDPH-Asbestos-and-Demolition-Notification/qhb4-qx8k,,,
223,Education/Connect-Chicago-Locations/bmus-hp7e,,,
224,Administration-Finance/Budget-2015-Budget-Ordinance-Appropriations/qnek-,,,
